"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2005-04-08,"2005w14",49.76,0.709,70.16,58.9,0,9.9,10.2,78.7,88.9,88.9,17.8,17.7949968180841,58.5,0,14.4,61.4,68.1,129.5,129.5,10.8,12.2748816601024,78.7
2005-04-15,"2005w15",46.76,0.72,64.96,58.1,0,9.9,10.2,78.7,88.9,88.9,15.2,17.7317612786449,57.9,0,14.4,61.4,68.1,129.5,129.5,7,12.2430833261154,78.7
2005-04-22,"2005w16",45.25,0.722,62.65,58,0,9.8,10.2,78.3,88.5,88.5,19.4,17.6685257392057,55.6,0,14.4,61.4,68.1,129.5,129.5,9.7,12.2112849921284,78.3
2005-04-29,"2005w17",47.19,0.726,65.03,56.1,0,9.5,9.9,76,85.9,85.9,17.9,17.6052901997665,51.4,0,14.4,61.4,68.1,129.5,129.5,10.2,12.1794866581414,76
2005-05-06,"2005w18",45.83,0.731,62.71,54.9,0,9.5,9.8,75.5,85.3,85.3,17.5,17.5420546603273,51.6,0,14.1,61.1,66.1,127.2,127.2,10.5,12.1476883241544,75.5
2005-05-13,"2005w19",45.5,0.728,62.53,54,0,9.3,9.6,74,83.6,83.6,17.9,17.478819120888,50.5,0,13.8,60.7,63.2,123.9,123.9,11.8,12.1158899901674,74
2005-05-20,"2005w20",44.53,0.71,62.73,56.2,0,9.1,9.4,72.2,81.6,81.6,17.3,17.4155835814488,51.7,0,13.7,60.7,62.9,123.6,123.6,11.3,12.0840916561804,72.2
2005-05-27,"2005w21",45.24,0.711,63.64,58.8,0,8.8,9.2,70,79.2,79.2,16,17.3250983503702,53.7,0,13.4,60.4,60.5,120.9,120.9,10,12.0795183401365,70
2005-06-03,"2005w22",47.32,0.705,67.08,62.4,0,9,9.3,71.3,80.6,80.6,15.1,17.2346131192915,54.9,0,13.5,60.5,61.3,121.8,121.8,9.5,12.0749450240926,71.3
2005-06-10,"2005w23",49.49,0.712,69.48,64.9,0,9.4,9.8,74.9,84.6,84.6,16.1,17.1441278882129,56.9,0,13.8,60.8,63.8,124.6,124.6,10.1,12.0703717080488,74.8
2005-06-17,"2005w24",50.4,0.709,71.05,64.8,0,9.7,10.1,77.5,87.6,87.6,15.1,17.0536426571342,58.6,0,14.2,61.1,66.5,127.6,127.6,11.5,12.0657983920049,77.5
2005-06-24,"2005w25",50.49,0.713,70.78,65.5,0,10.2,10.6,81.6,92.2,92.2,16.7,16.9631574260555,59.3,0,14.6,61.5,69.5,131,131,12.6,12.061225075961,81.6
2005-07-01,"2005w26",53.23,0.702,75.84,70.9,0,10.4,10.8,83.1,93.9,93.9,18.7,16.8726721949769,64.4,0,14.7,61.7,70.5,132.2,132.2,12.3,12.0566517599171,83.1
2005-07-08,"2005w27",53.76,0.677,79.41,69.1,0,10.4,10.8,83.1,93.9,93.9,17.6,16.7821869638982,62.3,0,14.7,62.4,69.8,132.2,132.2,10.5,12.0520784438733,83.1
2005-07-15,"2005w28",54.17,0.677,80.02,65.7,0,10.6,11,84.6,95.6,95.6,13.7,16.6917017328195,63.3,0,14.8,62.5,70.7,133.2,133.2,6.4,12.0475051278294,84.6
2005-07-22,"2005w29",51.38,0.678,75.8,65.1,0,10.8,11.1,85.7,96.8,96.8,16.5,16.6060708366726,64.5,0,15.1,62.7,73,135.8,135.8,10.7,12.0982024918558,85.7
2005-07-29,"2005w30",51.82,0.683,75.92,65.1,0,10.4,10.8,83.1,93.9,93.9,17.4,16.5204399405256,65.9,0,15.3,63,74.9,137.9,137.9,11.6,12.1488998558823,83.1
2005-08-05,"2005w31",54.63,0.686,79.61,67.5,0,10.4,10.8,83.1,93.9,93.9,18,16.4348090443786,69.1,0,15.4,63.1,75.7,138.8,138.8,11.2,12.1995972199088,83.1
2005-08-12,"2005w32",55.72,0.696,80.11,66.9,0,10.5,10.9,83.9,94.8,94.8,18.8,16.3491781482317,68.3,0,15.7,63.3,77.7,141,141,11.8,12.2502945839352,83.9
2005-08-19,"2005w33",57.13,0.703,81.24,67,0,10.8,11.1,85.8,96.9,96.9,18.3,16.2635472520847,71,0,16,63.7,80.2,143.9,143.9,11.2,12.3009919479617,85.8
2005-08-26,"2005w34",56.64,0.696,81.33,73.5,0,10.8,11.1,85.8,96.9,96.9,18.8,16.1779163559378,79.5,0,16.1,63.7,80.8,144.5,144.5,12.5,12.3516893119882,85.8
2005-09-02,"2005w35",58.64,0.696,84.3,73.5,0,11,11.4,87.7,99,99,20.7,16.0922854597908,79.5,0,16.7,64.3,85.7,150,150,14.7,12.4023866760146,87.6
2005-09-09,"2005w36",57.25,0.707,81.01,76.5,0,11.3,11.7,90.2,101.9,101.9,16.7,16.0066545636438,78.1,0,17.1,64.8,89.4,154.2,154.2,9.9,12.4530840400411,90.2
2005-09-16,"2005w37",55.5,0.706,78.6,75.6,0,11.1,11.4,88.2,99.6,99.6,11.7,15.9461408192503,74.1,0,17.1,64.7,88.9,153.6,153.6,10.7,12.5417789528972,88.2
2005-09-23,"2005w38",56.69,0.698,81.2,80.3,0,11,11.4,87.7,99,99,12.1,15.8856270748568,74.6,0,16.9,64.5,87.4,151.9,151.9,13.3,12.6304738657533,87.6
2005-09-30,"2005w39",56.18,0.687,81.83,83,0,11.3,11.7,90.2,101.9,101.9,9.9,15.8251133304633,73.4,0,16.9,64.5,87.4,151.9,151.9,12.8,12.7191687786094,90.2
2005-10-07,"2005w40",55.96,0.695,80.54,80.3,0,11.4,11.8,91.2,103,103,8.3,15.7645995860698,71,0,16.9,64.5,87.4,151.9,151.9,13.9,12.8078636914655,91.2
2005-10-14,"2005w41",54.04,0.695,77.75,79.6,0,11.8,12.1,93.8,105.9,105.9,13.4,15.7040858416763,70.4,0,16.6,64.3,85.5,149.8,149.8,14.4,12.8965586043216,93.8
