"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-05-17,"2013w19",100.31,0.8232,121.853741496599,96.0333505962172,0.9345,18.1077878643096,18.4827878643096,119.409085762064,143.614285714286,138.826373626374,23.3757351658469,25.2038840200843,92.6984032690717,0.8085,26.2748686096512,87.4038686096512,113.228290731008,206.614285714286,201.440659340659,20.5298874619365,22.9051939204822,123.57248757764
2013-05-24,"2013w20",100.59,0.81164,123.934256566951,97.3998618635046,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,23.996801538311,25.2569631166833,94.5909921036343,0.8085,26.573005255614,87.702005255614,115.21586837076,208.9,203.726373626374,20.6248762671254,22.9557671602174,125.560065217391
2013-05-31,"2013w21",99.79,0.80858,123.413886071879,96.9788912040801,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,24.4177721977354,25.3100422132823,95.5324368799679,0.8085,26.796607740086,87.925607740086,116.706551600573,210.614285714286,205.440659340659,21.1741147206055,23.0063403999526,125.560065217391
2013-06-07,"2013w22",100.23,0.80185,124.998441104945,97.3801491007258,0.9345,18.4059245102723,18.7809245102723,121.396663401816,145.9,141.112087912088,24.0165143010897,25.3631213098814,97.2431890301009,0.8085,26.96430960344,88.09330960344,117.824564022934,211.9,206.726373626374,20.5813749928327,23.0569136396878,125.560065217391
2013-06-14,"2013w23",101.1,0.79352,127.406996673052,100.507067138904,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,24.3678571324768,25.4162004064804,99.3810299445243,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.9217949479745,23.107486879423,129.038326086957
2013-06-21,"2013w24",101.3,0.79334,127.688002621827,102.27895429902,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,22.5959699723613,25.4692795030794,99.5794269509962,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.7233979415026,23.1580601191582,129.038326086957
2013-06-28,"2013w25",98.96,0.77668,127.41412164598,102.465654508623,0.9345,18.9276636407071,19.3026636407071,124.874924271381,149.9,145.112087912088,22.4092697627582,25.5223585996784,99.545785256605,0.8085,27.4860487338748,88.6150487338748,121.302824892499,215.9,210.726373626374,21.7570396358938,23.2086333588934,129.038326086957
2013-07-05,"2013w26",101.28,0.77802,130.176602143904,103.73583879596,0.9345,19.384431541993,19.759431541993,127.920043613287,152.185714285714,148.613975155279,24.184204817327,25.5754376962775,100.350617062826,0.8085,28.1245746691871,92.2535746691871,122.559664461248,219.9,215.621739130435,22.2090473984213,23.2592065986286,131.025903726708
2013-07-12,"2013w27",103.72,0.78256,132.539358004498,105.067667946983,0.534,19.7757358898191,20.1507358898191,130.92923926546,155.185714285714,151.613975155279,25.8615713184772,25.6436231862577,104.54405327657,0.462,28.7394815014853,92.8684815014853,127.005543343235,224.614285714286,220.33602484472,22.4614900666653,23.2915997139415,134.035099378882
2013-07-19,"2013w28",104.8,0.78558,133.404618243845,105.835007649062,0.534,19.9993383742911,20.3743383742911,132.419922495274,156.9,153.328260869565,26.584914846212,25.7118086762379,105.184528682469,0.462,29.037618147448,93.166618147448,128.993120982987,226.9,222.621739130435,23.808592300518,23.3239928292544,135.525782608696
