"Week_ending_friday","Week_number","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2010-06-04,"2010w22",73.46,0.67982,108.058015357006,84.4272019473047,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.6649531198503,17.6621435625408,80.955711456385,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,15.0080846364111,15.7580044913345,102.647222222222
2010-06-11,"2010w23",72.7,0.670525,108.422504753738,84.3217306030094,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.7704244641457,17.6912615418397,81.5726854688639,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,14.3911106239322,15.787165178226,102.647222222222
2010-06-18,"2010w24",75.37,0.69724,108.097642131834,84.9317079539803,0,12.6833943833944,13.0583943833944,101.092155067155,115.9,114.150549450549,16.1604471131748,17.6818977956474,81.4146283316279,0,19.0115995115995,75.1405995115995,95.9637960927961,172.9,171.104395604396,14.5491677611681,15.8017881479613,102.647222222222
2010-06-25,"2010w25",75.32,0.70982,106.111408526105,84.3408852887871,0,12.8421245421245,13.2171245421245,102.361996336996,117.328571428571,115.579120879121,18.0211110482093,17.6725340494552,79.9846559804436,0,19.2496947496947,75.3786947496947,97.868557997558,175.042857142857,173.247252747253,17.8839020171144,15.8164111176966,103.917063492064
2010-07-02,"2010w26",72.23,0.69724,103.594171303999,82.5049684414477,0.9612,13.0683146391221,13.4433146391221,103.210317112977,119.614285714286,117.614831752099,20.705348671529,17.6631703032629,79.2004124568528,0.8316,19.50062339317,75.62962339317,99.0443871453598,177.614285714286,175.50561053853,19.843974688507,15.8310340874319,104.98760952381
2010-07-09,"2010w27",71.64,0.6958,102.960620868066,81.3710262372063,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.5959012990256,17.6538065570707,78.6629972072507,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.4014665608653,15.8456570571673,102.910888888889
2010-07-16,"2010w28",73.22,0.71688,102.137038276978,81.2112437559334,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.7556837802985,17.6444428108784,78.1854367799513,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.8790269881646,15.8602800269026,102.910888888889
2010-07-23,"2010w29",73.79,0.71336,103.440058315577,82.4625067308576,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,18.5044208053742,17.6350790646862,79.5264358951382,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,16.5380278729777,15.8749029966379,102.910888888889
2010-07-30,"2010w30",73.92,0.72768,101.583113456464,81.7158677472649,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,19.251059788967,17.6257153184939,78.3498919992366,2.079,19.2840579710145,75.4130579710145,96.0644637681159,175.9,173.55652173913,17.7145717688794,15.8895259663732,102.910888888889
2010-08-06,"2010w31",78.78,0.73062,107.826229777449,85.0832460811737,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,15.8836814550581,17.6163515723016,80.8521731209624,2.079,19.3792960662526,75.5082960662526,96.8263685300207,176.757142857143,174.413664596273,15.9741954090583,15.9041489361085,102.910888888889
2010-08-13,"2010w32",74.47,0.72176,103.17834183108,82.9938630784378,2.403,12.968115942029,13.343115942029,100.966927536232,118.9,116.713043478261,17.973064457794,17.6040737511098,79.2439802893637,2.079,19.5062801932367,75.6352801932367,97.8422415458937,177.9,175.55652173913,18.5982612565301,15.90041367332,102.910888888889
